Time(sec)_full_semester,Overhead(sec),Time_per_night(sec),N_obs(full_semester),Starname,RAH,RAM,RAS,DECD,DECM,DECS,epoch,vmag=,Vmag,T_exp(sec),T_max(sec),Exp_meter_counts(k),decker,N_obs,Iodine,Priority,Program code,Telescope Propsoal Code,Comment,Include,Done,Cadence
Exposure time + overhead,120,,requested,,,,,,,,,,,,,,,per night,,,(for script),,,Y/N,,min separation
Formula,leave blank,Formula,,,,,,,,,,,,,,,,,,,,,,,,in days
178,,58,1,KIC9266192,18,57,5.52,45,43,28.99,2000,vmag=,9.1,58,117,70,C2,1,out,p2,YL,H378,,Y,N,nan
657,,537,1,KIC7581399,18,41,2.98,43,15,50.62,2000,vmag=,11.5,537,1073,70,C2,1,out,p2,YL,H378,,Y,N,nan
262,,142,1,KIC4940935,19,44,33.63,40,2,57.51,2000,vmag=,10.1,142,285,70,C2,1,out,p2,YL,H378,,Y,N,nan
207,,87,1,KIC12020628,19,42,23.2,50,26,54.5,2000,vmag=,9.5,87,173,70,C2,1,out,p2,YL,H378,,Y,N,nan
440,,320,1,KIC8395466,20,3,8.49,44,22,29.6,2000,vmag=,10.9,320,641,70,C2,1,out,p2,YL,H378,,Y,N,nan
271,,151,1,KIC5707338,19,29,34.56,40,54,18.68,2000,vmag=,10.1,151,301,70,C2,1,out,p2,YL,H378,,Y,N,nan
191,,71,1,KIC2845610,19,19,27.42,38,1,41.16,2000,vmag=,9.3,71,143,70,C2,1,out,p2,YL,H378,,Y,N,nan
465,,345,1,KIC6382830,19,47,58.14,41,47,23.65,2000,vmag=,11,345,690,70,C2,1,out,p2,YL,H378,,Y,N,nan
802,,682,1,KIC11045134,19,52,28.29,48,35,24.69,2000,vmag=,11.8,682,1364,70,C2,1,out,p2,YL,H378,,Y,N,nan
182,,62,1,KIC9139151,18,56,21.26,45,30,53.1,2000,vmag=,9.2,62,125,70,C2,1,out,p2,YL,H378,,Y,N,nan
148,,28,1,KIC9139163,18,56,22.13,45,30,25.27,2000,vmag=,8.3,28,55,70,C2,1,out,p2,YL,H378,,Y,N,nan
137,,17,1,KIC7510397,19,2,39.4,43,7,2.93,2000,vmag=,7.7,17,34,70,C2,1,out,p2,YL,H378,,Y,N,nan
150,,30,1,KIC10124866,18,58,3.46,47,11,29.94,2000,vmag=,8.3,30,59,70,C2,1,out,p2,YL,H378,,Y,N,nan
